psa_id,domain,subcategory,psa_text,word_count,validation_status
PSA_03007,Health,Healthcare Access,Residents of remote areas must support vulnerable family members in attending medical visits when necessary.,15,ACCEPT
PSA_03008,Health,Maternal and Child Health,Take newborns for scheduled health check-ups to strengthen family planning in maternity hospitals.,13,ACCEPT
PSA_03009,Health,Mental Health Awareness,Take preventive action in religious centres. Contact a recognized health facility for professional guidance.,14,ACCEPT
PSA_03010,Health,Healthcare Access,Ask healthcare workers for clear treatment instructions. Protect yourself and those around you.,13,ACCEPT
PSA_03011,Health,Disease Prevention and Control,Parents and caregivers are encouraged to ensure children receive routine immunization.,11,ACCEPT
PSA_03012,Health,Mental Health Awareness,Make informed health decisions. Avoid self-medicating for emotional distress.,9,ACCEPT
PSA_03013,Health,Public Health Campaigns,Promote safer communities through preventive care. Dispose of household waste safely.,11,ACCEPT
PSA_03014,Health,Mental Health Awareness,Protect public health in rural communities: avoid self-medicating for emotional distress.,11,ACCEPT
PSA_03015,Health,Mental Health Awareness,"To support mental healthcare, avoid self-medicating for emotional distress.",9,ACCEPT
PSA_03016,Health,Disease Prevention and Control,Protect your health today. Follow verified public-health guidance.,8,ACCEPT
PSA_03017,Health,Disease Prevention and Control,Market traders must avoid close contact with people showing symptoms when necessary.,12,ACCEPT
PSA_03018,Health,Public Health Campaigns,Seek early diagnosis when symptoms persist and encourage others to do the same.,13,ACCEPT
PSA_03019,Health,Healthcare Access,Avoid buying medicine from unauthorized sellers before lack of health information becomes more serious.,14,ACCEPT
PSA_03020,Health,Maternal and Child Health,Keep your community safe: seek advice about family planning from qualified providers.,12,ACCEPT
PSA_03021,Health,Public Health Campaigns,Protect vulnerable people from poor personal hygiene. Adopt healthy eating habits.,11,ACCEPT
PSA_03022,Health,Healthcare Access,Act early to prevent incomplete patient records. Support vulnerable family members in attending medical visits.,15,ACCEPT
PSA_03023,Health,Mental Health Awareness,Do not wait for symptoms to worsen. Follow treatment advice from qualified professionals.,13,ACCEPT
PSA_03024,Health,Maternal and Child Health,Do not rely on rumours about preventable childhood deaths. Attend postnatal care appointments.,13,ACCEPT
PSA_03025,Health,Disease Prevention and Control,"Stay informed, stay safe, and use approved sanitation facilities.",9,ACCEPT
PSA_03026,Health,Public Health Campaigns,Avoid the dangers of substance misuse: remain physically active according to health guidance.,13,ACCEPT
PSA_03027,Health,Public Health Campaigns,Take preventive action in county referral hospitals. Support local disease-prevention activities.,11,ACCEPT
PSA_03028,Health,Maternal and Child Health,Report severe bleeding or persistent pain immediately whenever you are in community health centres.,14,ACCEPT
PSA_03029,Health,Disease Prevention and Control,Ensure children receive routine immunization and encourage others to do the same.,12,ACCEPT
PSA_03030,Health,Healthcare Access,"For better universal health coverage, carry relevant health records when visiting a clinic.",13,ACCEPT
PSA_03031,Health,Public Health Campaigns,Seek early diagnosis when symptoms persist. Seek official guidance from public health campaign teams when necessary.,16,ACCEPT
PSA_03032,Health,Healthcare Access,Choose early care over delayed treatment. Seek referrals through recognized health facilities.,12,ACCEPT
PSA_03033,Health,Public Health Campaigns,Make health a priority. Avoid spreading unverified medical claims.,9,ACCEPT
PSA_03034,Health,Public Health Campaigns,Older adults are advised to encourage family members to attend health campaigns.,12,ACCEPT
PSA_03035,Health,Mental Health Awareness,Your action matters. Speak to a trusted adult or qualified counsellor when overwhelmed.,13,ACCEPT
PSA_03036,Health,Healthcare Access,"For better medical follow-up, report suspected counterfeit medicines to the authorities.",11,ACCEPT
PSA_03037,Health,Maternal and Child Health,Provide children with a balanced diet. This guidance is intended for adolescent mothers.,13,ACCEPT
PSA_03038,Health,Maternal and Child Health,Do not wait for symptoms to worsen. Ensure pregnant women sleep under treated mosquito nets.,15,ACCEPT
PSA_03039,Health,Maternal and Child Health,Take newborns for scheduled health check-ups as part of good child health.,12,ACCEPT
PSA_03040,Health,Disease Prevention and Control,Take action against food-borne illness: cover your mouth and nose when coughing or sneezing.,14,ACCEPT
PSA_03041,Health,Mental Health Awareness,Prevent avoidable illness. Use healthy methods to manage stress.,9,ACCEPT
PSA_03042,Health,Healthcare Access,Register births and medical records through official channels in specialist clinics.,11,ACCEPT
PSA_03043,Health,Disease Prevention and Control,"If you are in community centres, isolate when advised by a healthcare professional.",13,ACCEPT
PSA_03044,Health,Public Health Campaigns,public health campaign teams: Follow verified health information to reduce the risk of unsafe food handling.,16,ACCEPT
PSA_03045,Health,Public Health Campaigns,"Parents, remember to attend free health screening events.",8,ACCEPT
PSA_03046,Health,Disease Prevention and Control,National Public Health Institute urges school communities to complete all prescribed medication.,12,ACCEPT
PSA_03047,Health,Mental Health Awareness,Contact a recognized health facility for professional guidance to prevent avoidable harm in workplaces.,14,ACCEPT
PSA_03048,Health,Healthcare Access,"When signs of delayed medical treatment appear, seek referrals through recognized health facilities.",13,ACCEPT
PSA_03049,Health,Healthcare Access,Keep all medical appointment dates to protect older adults from unsafe online medical advice.,14,ACCEPT
PSA_03050,Health,Maternal and Child Health,Prioritize postnatal care. Take newborns for scheduled health check-ups.,9,ACCEPT
PSA_03051,Health,Disease Prevention and Control,Support community health by choosing to follow verified public-health guidance.,10,ACCEPT
PSA_03052,Health,Mental Health Awareness,Help prevent discrimination: take regular breaks during periods of intense work or study.,13,ACCEPT
PSA_03053,Health,Disease Prevention and Control,local health authorities reminds travellers to complete all prescribed medication.,10,ACCEPT
PSA_03054,Health,Maternal and Child Health,Protect yourself from dehydration in children: report severe bleeding or persistent pain immediately.,13,ACCEPT
PSA_03055,Health,Disease Prevention and Control,Do not wait for symptoms to worsen. Keep homes and public spaces clean.,13,ACCEPT
PSA_03056,Health,Mental Health Awareness,Listen without judgment to people experiencing distress. Protect yourself and those around you.,13,ACCEPT
PSA_03057,Health,Mental Health Awareness,Timely care matters. Contact a recognized health facility for professional guidance.,11,ACCEPT
PSA_03058,Health,Maternal and Child Health,local health facilities advises immediate action against missed immunization: provide children with a balanced diet.,15,ACCEPT
PSA_03059,Health,Healthcare Access,Seek help from health insurance authorities and seek early medical care before symptoms become severe.,15,ACCEPT
PSA_03060,Health,Disease Prevention and Control,Small actions can prevent infectious disease outbreaks. Complete all prescribed medication.,11,ACCEPT
PSA_03061,Health,Public Health Campaigns,Seek help from public health campaign teams and encourage family members to attend health campaigns.,15,ACCEPT
PSA_03062,Health,Maternal and Child Health,Your action matters. Monitor children for signs of illness.,9,ACCEPT
PSA_03063,Health,Disease Prevention and Control,Complete all prescribed medication to protect families and communities.,9,ACCEPT
PSA_03064,Health,Healthcare Access,Protect your health today. Seek early medical care before symptoms become severe.,12,ACCEPT
PSA_03065,Health,Healthcare Access,Register births and medical records through official channels. This guidance is intended for residents of remote areas.,17,ACCEPT
PSA_03066,Health,Mental Health Awareness,Avoid unsafe practices that increase family conflict. Seek professional mental health support when needed.,14,ACCEPT
PSA_03067,Health,Maternal and Child Health,Use approved health services and support mothers in accessing maternal healthcare.,11,ACCEPT
PSA_03068,Health,Public Health Campaigns,Keep health records safe and use public sanitation facilities responsibly.,10,ACCEPT
PSA_03069,Health,Disease Prevention and Control,"For reliable advice, contact World Health Organization and avoid sharing personal items with infected persons.",15,ACCEPT
PSA_03070,Health,Mental Health Awareness,Participate in mental health awareness programmes. Protect yourself and those around you.,12,ACCEPT
PSA_03071,Health,Disease Prevention and Control,World Health Organization reminds travellers to remove stagnant water around homes.,11,ACCEPT
PSA_03072,Health,Mental Health Awareness,mental health clinics encourages teachers to contact a recognized health facility for professional guidance.,14,ACCEPT
PSA_03073,Health,Disease Prevention and Control,Support community health by choosing to isolate when advised by a healthcare professional.,13,ACCEPT
PSA_03074,Health,Disease Prevention and Control,Community leaders should follow official vaccination schedules.,7,ACCEPT
PSA_03075,Health,Disease Prevention and Control,Residents of affected areas: Avoid close contact with people showing symptoms.,11,ACCEPT
PSA_03076,Health,Healthcare Access,"To improve medicine safety in emergency departments, use available mobile clinics in remote areas.",14,ACCEPT
PSA_03077,Health,Maternal and Child Health,community health services urges community health volunteers to register pregnant women with the nearest health facility.,16,ACCEPT
PSA_03078,Health,Mental Health Awareness,"To improve community support in public hospitals, follow treatment advice from qualified professionals.",13,ACCEPT
PSA_03079,Health,Mental Health Awareness,Choose safe health practices. Report bullying to the appropriate authority.,10,ACCEPT
PSA_03080,Health,Public Health Campaigns,"To keep markets safe, check your blood pressure regularly.",9,ACCEPT
PSA_03081,Health,Disease Prevention and Control,Use approved sanitation facilities as part of good health screening.,10,ACCEPT
PSA_03082,Health,Disease Prevention and Control,"To improve health screening in markets, store food safely and cook it thoroughly.",13,ACCEPT
PSA_03083,Health,Public Health Campaigns,Every community can reduce misinformation about health. Seek early diagnosis when symptoms persist.,13,ACCEPT
PSA_03084,Health,Maternal and Child Health,Follow safe infant feeding practices to promote safe motherhood.,9,ACCEPT
PSA_03085,Health,Mental Health Awareness,Follow guidance from workplace wellness programmes: avoid self-medicating for emotional distress.,11,ACCEPT
PSA_03086,Health,Disease Prevention and Control,Isolate when advised by a healthcare professional whenever you are in workplaces.,12,ACCEPT
PSA_03087,Health,Maternal and Child Health,Ministry of Health warns that childhood illness may affect pregnant women. Ensure pregnant women sleep under treated mosquito nets.,19,ACCEPT
PSA_03088,Health,Maternal and Child Health,maternal health clinics reminds new mothers to take prescribed supplements as directed.,12,ACCEPT
PSA_03089,Health,Disease Prevention and Control,Remove stagnant water around homes to prevent avoidable harm in public transport stations.,13,ACCEPT
PSA_03090,Health,Mental Health Awareness,Refer individuals to recognized support services to reduce the risk of delayed access to counselling.,15,ACCEPT
PSA_03091,Health,Disease Prevention and Control,Ensure children receive routine immunization. local health authorities reminds parents and caregivers to act early.,15,ACCEPT
PSA_03092,Health,Mental Health Awareness,Encourage open and respectful conversations about mental health.,8,ACCEPT
PSA_03093,Health,Disease Prevention and Control,Follow official health guidance. Use approved sanitation facilities.,8,ACCEPT
PSA_03094,Health,Maternal and Child Health,Report health concerns early and consult a trained healthcare provider before taking medicine.,13,ACCEPT
PSA_03095,Health,Mental Health Awareness,Do not rely on rumours about bullying. Take regular breaks during periods of intense work or study.,17,ACCEPT
PSA_03096,Health,Maternal and Child Health,Follow safe infant feeding practices to protect parents from delayed antenatal care.,12,ACCEPT
PSA_03097,Health,Public Health Campaigns,Help protect members of the public by choosing to follow verified health information.,13,ACCEPT
PSA_03098,Health,Maternal and Child Health,Good early childhood development starts with one action: ensure children receive all routine vaccinations.,14,ACCEPT
PSA_03099,Health,Disease Prevention and Control,"If you suspect tuberculosis, use insecticide-treated mosquito nets every night.",10,ACCEPT
PSA_03100,Health,Healthcare Access,Keep emergency health information easily accessible. Early action can reduce the effects of incomplete patient records.,16,ACCEPT
PSA_03101,Health,Maternal and Child Health,Seek advice about family planning from qualified providers. County Department of Health reminds caregivers to act early.,17,ACCEPT
PSA_03102,Health,Maternal and Child Health,Use recognized health services whenever possible. Follow safe infant feeding practices.,11,ACCEPT
PSA_03103,Health,Maternal and Child Health,Use recognized health services whenever possible. Attend all scheduled antenatal clinic visits.,12,ACCEPT
PSA_03104,Health,Maternal and Child Health,Ensure pregnant women sleep under treated mosquito nets. Early action can reduce the effects of poor infant feeding.,18,ACCEPT
PSA_03105,Health,Disease Prevention and Control,Help prevent contaminated drinking water: store food safely and cook it thoroughly.,12,ACCEPT
PSA_03106,Health,Healthcare Access,Protect your health today. Seek referrals through recognized health facilities.,10,ACCEPT
PSA_03107,Health,Maternal and Child Health,Ask qualified professionals for help and follow safe infant feeding practices.,11,ACCEPT
PSA_03108,Health,Healthcare Access,Protect public health in maternal health clinics: use medicines only as prescribed by qualified professionals.,15,ACCEPT
PSA_03109,Health,Maternal and Child Health,Promote safer communities through safe motherhood. Register pregnant women with the nearest health facility.,14,ACCEPT
PSA_03110,Health,Maternal and Child Health,local health facilities: Seek advice about family planning from qualified providers to reduce the risk of anaemia during pregnancy.,19,ACCEPT
PSA_03111,Health,Maternal and Child Health,Maintain good hygiene when preparing children's food and encourage others to do the same.,14,ACCEPT
PSA_03112,Health,Healthcare Access,Protect public health in county referral hospitals: use available mobile clinics in remote areas.,14,ACCEPT
PSA_03113,Health,Healthcare Access,Every household should support patient referral by choosing to attend regular check-ups for chronic health conditions.,16,ACCEPT
PSA_03114,Health,Healthcare Access,Verify that healthcare providers are properly licensed. Early action can reduce the effects of health insurance fraud.,17,ACCEPT
PSA_03115,Health,Healthcare Access,Choose early care over delayed treatment. Report discrimination or denial of essential healthcare.,13,ACCEPT
PSA_03116,Health,Healthcare Access,Choose early care over delayed treatment. Register for available public health insurance programmes.,13,ACCEPT
PSA_03117,Health,Disease Prevention and Control,Use approved sanitation facilities to promote vector control.,8,ACCEPT
PSA_03118,Health,Mental Health Awareness,Help protect families by choosing to maintain supportive connections with family and friends.,13,ACCEPT
PSA_03119,Health,Healthcare Access,Keep all medical appointment dates. Do not ignore the risk of long distances to health facilities.,16,ACCEPT
PSA_03120,Health,Mental Health Awareness,Seek help from mental health clinics and check regularly on people who may need support.,15,ACCEPT
PSA_03121,Health,Disease Prevention and Control,Support prevention efforts in community centres. Remove stagnant water around homes.,11,ACCEPT
PSA_03122,Health,Maternal and Child Health,Choose early care over delayed treatment. Ensure pregnant women sleep under treated mosquito nets.,14,ACCEPT
PSA_03123,Health,Disease Prevention and Control,"When signs of COVID-19 appear, report suspected disease outbreaks to health authorities.",12,ACCEPT
PSA_03124,Health,Healthcare Access,Use available mobile clinics in remote areas as part of good primary healthcare.,13,ACCEPT
PSA_03125,Health,Public Health Campaigns,Good risk reduction starts with one action: register for available public health programmes.,13,ACCEPT
PSA_03126,Health,Maternal and Child Health,Protect public health in public hospitals: consult a trained healthcare provider before taking medicine.,14,ACCEPT
PSA_03127,Health,Disease Prevention and Control,Visit the nearest health facility for testing to protect travellers from infectious disease outbreaks.,14,ACCEPT
PSA_03128,Health,Mental Health Awareness,Keep your community safe: participate in mental health awareness programmes.,10,ACCEPT
PSA_03129,Health,Healthcare Access,Use trusted health information and attend regular check-ups for chronic health conditions.,12,ACCEPT
PSA_03130,Health,Disease Prevention and Control,"For reliable advice, contact disease surveillance teams and isolate when advised by a healthcare professional.",15,ACCEPT
PSA_03131,Health,Public Health Campaigns,Follow guidance from public health campaign teams: attend health education sessions.,11,ACCEPT
PSA_03132,Health,Maternal and Child Health,Help prevent delayed antenatal care: support mothers in accessing maternal healthcare.,11,ACCEPT
PSA_03133,Health,Public Health Campaigns,Small actions can prevent unsafe food handling. Register for available public health programmes.,13,ACCEPT
PSA_03134,Health,Healthcare Access,Help protect rural households by choosing to support vulnerable family members in attending medical visits.,15,ACCEPT
PSA_03135,Health,Disease Prevention and Control,local health authorities advises travellers to avoid close contact with people showing symptoms.,13,ACCEPT
PSA_03136,Health,Healthcare Access,Use available mobile clinics in remote areas as advised by local health facilities.,13,ACCEPT
PSA_03137,Health,Healthcare Access,Avoid the dangers of failure to seek preventive care: keep emergency health information easily accessible.,15,ACCEPT
PSA_03138,Health,Healthcare Access,Promote safer communities through universal health coverage. Use official emergency medical contacts.,12,ACCEPT
PSA_03139,Health,Healthcare Access,Confirm health insurance information through official offices to promote medicine safety.,11,ACCEPT
PSA_03140,Health,Public Health Campaigns,Choose safe health practices. Dispose of household waste safely.,9,ACCEPT
PSA_03141,Health,Public Health Campaigns,Avoid spreading unverified medical claims to reduce the risk of misinformation about health.,13,ACCEPT
PSA_03142,Health,Maternal and Child Health,Register pregnant women with the nearest health facility to promote child immunization.,12,ACCEPT
PSA_03143,Health,Public Health Campaigns,Protect others by making the safe choice to encourage family members to attend health campaigns.,15,ACCEPT
PSA_03144,Health,Healthcare Access,Do not wait for symptoms to worsen. Avoid buying medicine from unauthorized sellers.,13,ACCEPT
PSA_03145,Health,Disease Prevention and Control,Every community can reduce delayed disease reporting. Isolate when advised by a healthcare professional.,14,ACCEPT
PSA_03146,Health,Public Health Campaigns,Take preventive action in mobile clinics. Verify health messages using official sources.,12,ACCEPT
PSA_03147,Health,Disease Prevention and Control,Support prevention efforts in informal settlements. Seek medical attention when symptoms appear.,12,ACCEPT
PSA_03148,Health,Disease Prevention and Control,Protect your health today. Wash your hands regularly with soap and clean water.,13,ACCEPT
PSA_03149,Health,Disease Prevention and Control,Reduce the spread of the spread of preventable infections: drink treated or boiled water.,14,ACCEPT
PSA_03150,Health,Maternal and Child Health,Every community can reduce unsafe delivery practices. Support mothers in accessing maternal healthcare.,13,ACCEPT
PSA_03151,Health,Public Health Campaigns,local government authorities advises rural residents to verify health messages using official sources.,13,ACCEPT
PSA_03152,Health,Public Health Campaigns,"To improve vaccination campaign in urban neighbourhoods, use public sanitation facilities responsibly.",12,ACCEPT
PSA_03153,Health,Mental Health Awareness,Young people should support people seeking counselling or treatment.,9,ACCEPT
PSA_03154,Health,Maternal and Child Health,"For reliable advice, contact nutrition support programmes and take newborns for scheduled health check-ups.",14,ACCEPT
PSA_03155,Health,Public Health Campaigns,Kenya Red Cross Society advises urban residents to use public sanitation facilities responsibly.,13,ACCEPT
PSA_03156,Health,Disease Prevention and Control,Cover your mouth and nose when coughing or sneezing and follow verified advice from Kenya Red Cross Society.,18,ACCEPT
PSA_03157,Health,Maternal and Child Health,Act now for better health. Attend postnatal care appointments.,9,ACCEPT
PSA_03158,Health,Healthcare Access,community health services urges members of the public to use medicines only as prescribed by qualified professionals.,17,ACCEPT
PSA_03159,Health,Disease Prevention and Control,Use insecticide-treated mosquito nets every night. Seek official guidance from Kenya Red Cross Society when necessary.,16,ACCEPT
PSA_03160,Health,Mental Health Awareness,Support prevention efforts in health facilities. Create safe and supportive school environments.,12,ACCEPT
PSA_03161,Health,Healthcare Access,"Together, we can prevent incorrect medicine use. Seek referrals through recognized health facilities.",13,ACCEPT
PSA_03162,Health,Public Health Campaigns,"To support community mobilisation, attend health education sessions.",8,ACCEPT
PSA_03163,Health,Maternal and Child Health,Seek help from public hospitals and keep the child's immunization records safely.,12,ACCEPT
PSA_03164,Health,Public Health Campaigns,Older adults are advised to dispose of household waste safely.,10,ACCEPT
PSA_03165,Health,Disease Prevention and Control,Take action against influenza: clean frequently touched surfaces.,8,ACCEPT
PSA_03166,Health,Mental Health Awareness,"Teachers, remember to learn to recognize signs of emotional distress.",10,ACCEPT
PSA_03167,Health,Maternal and Child Health,Prioritize child growth monitoring. Keep the child's immunization records safely.,10,ACCEPT
PSA_03168,Health,Public Health Campaigns,Act now for better health. Avoid spreading unverified medical claims.,10,ACCEPT
PSA_03169,Health,Healthcare Access,Verified health information protects communities. Seek early medical care before symptoms become severe.,13,ACCEPT
PSA_03170,Health,Maternal and Child Health,Deliver at a recognized health facility in nutrition centres.,9,ACCEPT
PSA_03171,Health,Maternal and Child Health,Do your part to reduce unsafe delivery practices. Take newborns for scheduled health check-ups.,14,ACCEPT
PSA_03172,Health,Disease Prevention and Control,Follow guidance from World Health Organization: keep homes and public spaces clean.,12,ACCEPT
PSA_03173,Health,Mental Health Awareness,Promote respectful workplace wellness practices in rehabilitation centres to help prevent discrimination.,12,ACCEPT
PSA_03174,Health,Public Health Campaigns,Promote safer communities through healthy living. Check your blood pressure regularly.,11,ACCEPT
PSA_03175,Health,Mental Health Awareness,Support community health by choosing to support people seeking counselling or treatment.,12,ACCEPT
PSA_03176,Health,Public Health Campaigns,Kenya Red Cross Society warns that delayed healthcare seeking may affect older adults. Verify health messages using official sources.,19,ACCEPT
PSA_03177,Health,Mental Health Awareness,Promote respectful workplace wellness practices whenever you are in public hospitals.,11,ACCEPT
PSA_03178,Health,Public Health Campaigns,"If you are in health facilities, verify health messages using official sources.",12,ACCEPT
PSA_03179,Health,Healthcare Access,Community protection begins with you. Use available mobile clinics in remote areas.,12,ACCEPT
PSA_03180,Health,Mental Health Awareness,Respond quickly when health risks appear. Take regular breaks during periods of intense work or study.,16,ACCEPT
PSA_03181,Health,Mental Health Awareness,Small actions can prevent poor coping strategies. Participate in mental health awareness programmes.,13,ACCEPT
PSA_03182,Health,Disease Prevention and Control,Parents and caregivers are advised to drink treated or boiled water.,11,ACCEPT
PSA_03183,Health,Mental Health Awareness,Healthy communities depend on responsible action. Report bullying to the appropriate authority.,12,ACCEPT
PSA_03184,Health,Public Health Campaigns,Every household should support preventive care by choosing to check your blood pressure regularly.,14,ACCEPT
PSA_03185,Health,Healthcare Access,Stay safe from lack of emergency care. Attend regular check-ups for chronic health conditions.,14,ACCEPT
PSA_03186,Health,Healthcare Access,health insurance authorities advises people with disabilities to report discrimination or denial of essential healthcare.,15,ACCEPT
PSA_03187,Health,Healthcare Access,People living with chronic conditions are encouraged to avoid buying medicine from unauthorized sellers.,14,ACCEPT
PSA_03188,Health,Healthcare Access,County Department of Health reminds young people to carry relevant health records when visiting a clinic.,16,ACCEPT
PSA_03189,Health,Maternal and Child Health,Every household should support family planning by choosing to take prescribed supplements as directed.,14,ACCEPT
PSA_03190,Health,Disease Prevention and Control,Prevent avoidable illness. Report suspected disease outbreaks to health authorities.,10,ACCEPT
PSA_03191,Health,Disease Prevention and Control,"For better preventive healthcare, visit the nearest health facility for testing.",11,ACCEPT
PSA_03192,Health,Public Health Campaigns,Keep your community safe: participate in community clean-up activities.,9,ACCEPT
PSA_03193,Health,Mental Health Awareness,mental health clinics urges community leaders to support people seeking counselling or treatment.,13,ACCEPT
PSA_03194,Health,Maternal and Child Health,Help protect caregivers by choosing to attend all scheduled antenatal clinic visits.,12,ACCEPT
PSA_03195,Health,Disease Prevention and Control,Choose early care over delayed treatment. Avoid close contact with people showing symptoms.,13,ACCEPT
PSA_03196,Health,Healthcare Access,Confirm health insurance information through official offices before high treatment costs becomes more serious.,14,ACCEPT
PSA_03197,Health,Public Health Campaigns,local government authorities: Participate in community clean-up activities to reduce the risk of delayed healthcare seeking.,16,ACCEPT
PSA_03198,Health,Maternal and Child Health,Follow treatment instructions carefully and keep the child's immunization records safely.,11,ACCEPT
PSA_03199,Health,Disease Prevention and Control,"During a risk of measles, visit the nearest health facility for testing.",12,ACCEPT
PSA_03200,Health,Disease Prevention and Control,Seek medical attention when symptoms appear to reduce the risk of contaminated drinking water.,14,ACCEPT
PSA_03201,Health,Maternal and Child Health,"To improve maternal health in child welfare clinics, ensure pregnant women sleep under treated mosquito nets.",16,ACCEPT
PSA_03202,Health,Public Health Campaigns,Protect your health today. Avoid spreading unverified medical claims.,9,ACCEPT
PSA_03203,Health,Healthcare Access,Ask healthcare workers for clear treatment instructions to protect families and communities.,12,ACCEPT
PSA_03204,Health,Disease Prevention and Control,Ministry of Health: Follow official vaccination schedules in markets.,9,ACCEPT
PSA_03205,Health,Mental Health Awareness,Act now for better health. Use healthy methods to manage stress.,11,ACCEPT
PSA_03206,Health,Disease Prevention and Control,Market traders must keep homes and public spaces clean when necessary.,11,ACCEPT
PSA_03207,Health,Maternal and Child Health,Everyone in rural health facilities should support mothers in accessing maternal healthcare.,12,ACCEPT
PSA_03208,Health,Mental Health Awareness,Listen without judgment to people experiencing distress to strengthen stress management in rural communities.,14,ACCEPT
PSA_03209,Health,Public Health Campaigns,Kenya Red Cross Society urges people living with chronic conditions to encourage family members to attend health campaigns.,18,ACCEPT
PSA_03210,Health,Public Health Campaigns,"During a risk of misinformation about health, use public sanitation facilities responsibly.",12,ACCEPT
PSA_03211,Health,Healthcare Access,Take responsibility for your health. Use medicines only as prescribed by qualified professionals.,13,ACCEPT
PSA_03212,Health,Disease Prevention and Control,"If you suspect contaminated drinking water, complete all prescribed medication.",10,ACCEPT
PSA_03213,Health,Disease Prevention and Control,"If you are in urban neighbourhoods, store food safely and cook it thoroughly.",13,ACCEPT
PSA_03214,Health,Public Health Campaigns,Remain physically active according to health guidance whenever you are in community centres.,13,ACCEPT
PSA_03215,Health,Healthcare Access,Community protection begins with you. Seek early medical care before symptoms become severe.,13,ACCEPT
PSA_03216,Health,Public Health Campaigns,Ministry of Health encourages workers to verify health messages using official sources.,12,ACCEPT
PSA_03217,Health,Healthcare Access,Take action against high treatment costs: support vulnerable family members in attending medical visits.,14,ACCEPT
PSA_03218,Health,Maternal and Child Health,Follow guidance from child welfare clinics: maintain good hygiene when preparing children's food.,13,ACCEPT
PSA_03219,Health,Disease Prevention and Control,Follow treatment instructions carefully and avoid close contact with people showing symptoms.,12,ACCEPT
PSA_03220,Health,Healthcare Access,Seek referrals through recognized health facilities to protect residents of remote areas from long distances to health facilities.,18,ACCEPT
PSA_03221,Health,Healthcare Access,Take action against untreated chronic illness: register births and medical records through official channels.,14,ACCEPT
PSA_03222,Health,Healthcare Access,Keep health records safe and visit a recognized health facility when medical care is needed.,15,ACCEPT
PSA_03223,Health,Public Health Campaigns,"To improve wellness screening in health facilities, follow instructions issued during national health campaigns.",14,ACCEPT
PSA_03224,Health,Public Health Campaigns,Take responsibility for your health. Avoid spreading unverified medical claims.,10,ACCEPT
PSA_03225,Health,Maternal and Child Health,Maintain good hygiene when preparing children's food to protect new mothers from childhood illness.,14,ACCEPT
PSA_03226,Health,Mental Health Awareness,"When visiting universities, refer individuals to recognized support services.",9,ACCEPT
PSA_03227,Health,Public Health Campaigns,Keep health records safe and attend free health screening events.,10,ACCEPT
PSA_03228,Health,Mental Health Awareness,Learn to recognize signs of emotional distress to reduce the risk of social isolation.,14,ACCEPT
PSA_03229,Health,Healthcare Access,Report health concerns early and visit a recognized health facility when medical care is needed.,15,ACCEPT
PSA_03230,Health,Mental Health Awareness,Take action against delayed access to counselling: speak to a trusted adult or qualified counsellor when overwhelmed.,17,ACCEPT
PSA_03231,Health,Maternal and Child Health,County Department of Health advises immediate action against anaemia during pregnancy: deliver at a recognized health facility.,17,ACCEPT
PSA_03232,Health,Disease Prevention and Control,Notify community health workers about unusual symptoms.,7,ACCEPT
PSA_03233,Health,Public Health Campaigns,"For reliable advice, contact Ministry of Health and remain physically active according to health guidance.",15,ACCEPT
PSA_03234,Health,Healthcare Access,Protect others by making the safe choice to use official emergency medical contacts.,13,ACCEPT
PSA_03235,Health,Disease Prevention and Control,Reduce the spread of tuberculosis: ensure children receive routine immunization.,10,ACCEPT
PSA_03236,Health,Healthcare Access,"For reliable advice, contact public hospitals and register births and medical records through official channels.",15,ACCEPT
PSA_03237,Health,Public Health Campaigns,Protect your health today. Maintain a clean home and neighbourhood.,10,ACCEPT
PSA_03238,Health,Maternal and Child Health,Use approved health services and breastfeed infants according to health guidance.,11,ACCEPT
PSA_03239,Health,Mental Health Awareness,"When signs of untreated mental health conditions appear, use healthy methods to manage stress.",14,ACCEPT
PSA_03240,Health,Mental Health Awareness,Timely care matters. Support people seeking counselling or treatment.,9,ACCEPT
PSA_03241,Health,Public Health Campaigns,Choose safe health practices. Seek screening for common preventable diseases.,10,ACCEPT
PSA_03242,Health,Healthcare Access,Ask healthcare workers for clear treatment instructions as part of good health insurance.,13,ACCEPT
PSA_03243,Health,Public Health Campaigns,Do not rely on rumours about cancer. Seek early diagnosis when symptoms persist.,13,ACCEPT
PSA_03244,Health,Disease Prevention and Control,Follow guidance from community health services: seek medical attention when symptoms appear.,12,ACCEPT
PSA_03245,Health,Mental Health Awareness,Listen without judgment to people experiencing distress in workplaces.,9,ACCEPT
PSA_03246,Health,Healthcare Access,Take responsibility for your health. Verify that healthcare providers are properly licensed.,12,ACCEPT
PSA_03247,Health,Public Health Campaigns,local government authorities warns that low vaccination coverage may affect school communities. Reduce the consumption of harmful substances.,18,ACCEPT
PSA_03248,Health,Public Health Campaigns,Support prevention efforts in markets. Reduce the consumption of harmful substances.,11,ACCEPT
PSA_03249,Health,Mental Health Awareness,Early prevention saves lives. Speak to a trusted adult or qualified counsellor when overwhelmed.,14,ACCEPT
PSA_03250,Health,Mental Health Awareness,"Together, we can prevent poor coping strategies. Create safe and supportive school environments.",13,ACCEPT
PSA_03251,Health,Maternal and Child Health,Follow safe infant feeding practices. Do not ignore the risk of delayed antenatal care.,14,ACCEPT
